"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon"
"39F0","NS-IBTS","27.4.b",1,1975,3,4,0.75,0.5,55.25
"39F1","NS-IBTS","27.4.b",1,1975,2,2,1,1.5,55.25
"39F2","NS-IBTS","27.4.b",1,1975,2,3,0.666666666666667,2.5,55.25
"39F3","NS-IBTS","27.4.b",1,1975,2,3,0.666666666666667,3.5,55.25
"39F4","NS-IBTS","27.4.b",1,1975,6,11,0.545454545454545,4.5,55.25
"39F5","NS-IBTS","27.4.b",1,1975,2,3,0.666666666666667,5.5,55.25
"39F6","NS-IBTS","27.4.b",1,1975,2,3,0.666666666666667,6.5,55.25
"39F7","NS-IBTS","27.4.b",1,1975,2,3,0.666666666666667,7.5,55.25
"39F8","NS-IBTS","27.4.b",1,1975,4,6,0.666666666666667,8.5,55.25
"40E8","NS-IBTS","27.4.b",1,1975,8,12,0.666666666666667,-1.5,55.75
"40E9","NS-IBTS","27.4.b",1,1975,4,10,0.4,-0.5,55.75
"40F1","NS-IBTS","27.4.b",1,1975,6,7,0.857142857142857,1.5,55.75
"40F2","NS-IBTS","27.4.b",1,1975,3,5,0.6,2.5,55.75
"40F3","NS-IBTS","27.4.b",1,1975,2,5,0.4,3.5,55.75
"40F4","NS-IBTS","27.4.b",1,1975,2,2,1,4.5,55.75
"40F6","NS-IBTS","27.4.b",1,1975,2,3,0.666666666666667,6.5,55.75
"41E8","NS-IBTS","27.4.b",1,1975,6,9,0.666666666666667,-1.5,56.25
"41F0","NS-IBTS","27.4.b",1,1975,5,7,0.714285714285714,0.5,56.25
"41F2","NS-IBTS","27.4.b",1,1975,1,3,0.333333333333333,2.5,56.25
"41F3","NS-IBTS","27.4.b",1,1975,2,4,0.5,3.5,56.25
"41F4","NS-IBTS","27.4.b",1,1975,5,8,0.625,4.5,56.25
"41F5","NS-IBTS","27.4.b",1,1975,3,10,0.3,5.5,56.25
"41F6","NS-IBTS","27.4.b",1,1975,3,3,1,6.5,56.25
"41F7","NS-IBTS","27.4.b",1,1975,7,8,0.875,7.5,56.25
"41G2","NS-IBTS","27.3.a",1,1975,5,5,1,12.5,56.25
"42E7","NS-IBTS","27.4.b",1,1975,2,7,0.285714285714286,-2.5,56.75
"42E9","NS-IBTS","27.4.b",1,1975,5,11,0.454545454545455,-0.5,56.75
"42F0","NS-IBTS","27.4.b",1,1975,4,7,0.571428571428571,0.5,56.75
"42F4","NS-IBTS","27.4.b",1,1975,2,3,0.666666666666667,4.5,56.75
"42F5","NS-IBTS","27.4.b",1,1975,5,11,0.454545454545455,5.5,56.75
"42F6","NS-IBTS","27.4.b",1,1975,4,8,0.5,6.5,56.75
"43E9","NS-IBTS","27.4.b",1,1975,5,9,0.555555555555556,-0.5,57.25
"43F0","NS-IBTS","27.4.b",1,1975,1,2,0.5,0.5,57.25
"43F1","NS-IBTS","27.4.b",1,1975,7,8,0.875,1.5,57.25
"43F2","NS-IBTS","27.4.b",1,1975,4,8,0.5,2.5,57.25
"43F4","NS-IBTS","27.4.b",1,1975,2,3,0.666666666666667,4.5,57.25
"43F5","NS-IBTS","27.4.b",1,1975,1,9,0.111111111111111,5.5,57.25
"43F6","NS-IBTS","27.4.b",1,1975,1,3,0.333333333333333,6.5,57.25
"43F7","NS-IBTS","27.4.b",1,1975,4,6,0.666666666666667,7.5,57.25
"43F8","NS-IBTS","27.3.a",1,1975,3,7,0.428571428571429,8.5,57.25
"43G1","NS-IBTS","27.3.a",1,1975,5,9,0.555555555555556,11.5,57.25
"44E6","NS-IBTS","27.4.a",1,1975,2,3,0.666666666666667,-3.5,57.75
"44E7","NS-IBTS","27.4.a",1,1975,3,3,1,-2.5,57.75
"44E8","NS-IBTS","27.4.a",1,1975,2,5,0.4,-1.5,57.75
"44E9","NS-IBTS","27.4.a",1,1975,2,5,0.4,-0.5,57.75
"44F0","NS-IBTS","27.4.a",1,1975,1,3,0.333333333333333,0.5,57.75
"44F1","NS-IBTS","27.4.a",1,1975,3,9,0.333333333333333,1.5,57.75
"44F4","NS-IBTS","27.4.a",1,1975,1,6,0.166666666666667,4.5,57.75
"44F5","NS-IBTS","27.4.a",1,1975,3,10,0.3,5.5,57.75
"44F8","NS-IBTS","27.3.a",1,1975,5,13,0.384615384615385,8.5,57.75
"44F9","NS-IBTS","27.3.a",1,1975,5,7,0.714285714285714,9.5,57.75
"44G0","NS-IBTS","27.3.a",1,1975,1,4,0.25,10.5,57.75
"44G1","NS-IBTS","27.3.a",1,1975,4,4,1,11.5,57.75
"45E6","NS-IBTS","27.4.a",1,1975,3,4,0.75,-3.5,58.25
"45E8","NS-IBTS","27.4.a",1,1975,2,5,0.4,-1.5,58.25
"45F0","NS-IBTS","27.4.a",1,1975,2,5,0.4,0.5,58.25
"45F1","NS-IBTS","27.4.a",1,1975,2,5,0.4,1.5,58.25
"45F2","NS-IBTS","27.4.a",1,1975,1,1,1,2.5,58.25
"45F3","NS-IBTS","27.4.a",1,1975,1,5,0.2,3.5,58.25
"45F4","NS-IBTS","27.4.a",1,1975,1,8,0.125,4.5,58.25
"45F9","NS-IBTS","27.3.a",1,1975,3,7,0.428571428571429,9.5,58.25
"45G0","NS-IBTS","27.3.a",1,1975,1,4,0.25,10.5,58.25
"46E8","NS-IBTS","27.4.a",1,1975,1,2,0.5,-1.5,58.75
"46E9","NS-IBTS","27.4.a",1,1975,3,4,0.75,-0.5,58.75
"46F0","NS-IBTS","27.4.a",1,1975,3,7,0.428571428571429,0.5,58.75
"46F1","NS-IBTS","27.4.a",1,1975,3,4,0.75,1.5,58.75
"46F2","NS-IBTS","27.4.a",1,1975,2,4,0.5,2.5,58.75
"46G0","NS-IBTS","27.3.a",1,1975,5,8,0.625,10.5,58.75
"47E8","NS-IBTS","27.4.a",1,1975,4,9,0.444444444444444,-1.5,59.25
"47F0","NS-IBTS","27.4.a",1,1975,1,5,0.2,0.5,59.25
"47F1","NS-IBTS","27.4.a",1,1975,1,5,0.2,1.5,59.25
"47F2","NS-IBTS","27.4.a",1,1975,1,5,0.2,2.5,59.25
"47F3","NS-IBTS","27.4.a",1,1975,1,7,0.142857142857143,3.5,59.25
"48E7","NS-IBTS","27.4.a",1,1975,2,4,0.5,-2.5,59.75
"48E8","NS-IBTS","27.4.a",1,1975,2,7,0.285714285714286,-1.5,59.75
