"Year","ratio","sst","F_CODE","sst_lag1","sst_lag2"
1967,0.25,0.536324863322079,"27.3.a",NA,NA
1968,0.333333333333333,0.444064350488285,"27.3.a",0.536324863322079,NA
1970,0.384615384615385,-0.587758804671466,"27.3.a",0.444064350488285,0.536324863322079
1971,NA,0.0795251441498597,"27.3.a",-0.587758804671466,0.444064350488285
1972,0.434782608695652,0.115979575862487,"27.3.a",0.0795251441498597,-0.587758804671466
1973,0.705882352941177,0.602933274582028,"27.3.a",0.115979575862487,0.0795251441498597
1974,0.75,0.277355270770689,"27.3.a",0.602933274582028,0.115979575862487
1975,0.529411764705882,0.894672128061454,"27.3.a",0.277355270770689,0.602933274582028
1976,0.823529411764706,0.128351130755618,"27.3.a",0.894672128061454,0.277355270770689
1977,0.722222222222222,-0.0690685386459033,"27.3.a",0.128351130755618,0.894672128061454
1978,0.705882352941177,-0.23371096358945,"27.3.a",-0.0690685386459033,0.128351130755618
1979,0.764705882352941,-1.0604833982264,"27.3.a",-0.23371096358945,-0.0690685386459033
1980,0.789473684210526,-0.328059772029519,"27.3.a",-1.0604833982264,-0.23371096358945
1981,0.611111111111111,-0.269933391595259,"27.3.a",-0.328059772029519,-1.0604833982264
1982,0.714285714285714,0.15528532769531,"27.3.a",-0.269933391595259,-0.328059772029519
1983,0.619047619047619,0.330609423962111,"27.3.a",0.15528532769531,-0.269933391595259
1984,0.761904761904762,0.0443486527850231,"27.3.a",0.330609423962111,0.15528532769531
1985,0.789473684210526,-0.580890892383953,"27.3.a",0.0443486527850231,0.330609423962111
1986,0.714285714285714,-0.592599030118436,"27.3.a",-0.580890892383953,0.0443486527850231
1987,0.652173913043478,-0.863859018310905,"27.3.a",-0.592599030118436,-0.580890892383953
1988,0.722222222222222,0.56858673132956,"27.3.a",-0.863859018310905,-0.592599030118436
1989,0.523809523809524,1.16072827825944,"27.3.a",0.56858673132956,-0.863859018310905
1990,0.681818181818182,1.25146463296066,"27.3.a",1.16072827825944,0.56858673132956
1991,0.84,0.348923077185949,"27.3.a",1.25146463296066,1.16072827825944
1992,0.8,0.89793309631447,"27.3.a",0.348923077185949,1.25146463296066
1993,0.7,-0.166710439448555,"27.3.a",0.89793309631447,0.348923077185949
1994,0.642857142857143,0.509638103966912,"27.3.a",-0.166710439448555,0.89793309631447
1995,0.7,0.792463705564539,"27.3.a",0.509638103966912,-0.166710439448555
1996,0.793103448275862,-0.498815612867475,"27.3.a",0.792463705564539,0.509638103966912
1997,0.866666666666667,0.754065929291149,"27.3.a",-0.498815612867475,0.792463705564539
1998,0.892857142857143,0.519048383149008,"27.3.a",0.754065929291149,-0.498815612867475
1999,0.78125,1.14635653048754,"27.3.a",0.519048383149008,0.754065929291149
2000,0.862068965517241,1.0692855102631,"27.3.a",1.14635653048754,0.519048383149008
2001,0.774193548387097,0.848378679404656,"27.3.a",1.0692855102631,1.14635653048754
2002,0.84375,1.2824285045887,"27.3.a",0.848378679404656,1.0692855102631
2003,0.96551724137931,0.980251975667973,"27.3.a",1.2824285045887,0.848378679404656
2004,0.90625,0.978406673297286,"27.3.a",0.980251975667973,1.2824285045887
2005,1.03125,1.18120742356405,"27.3.a",0.978406673297286,0.980251975667973
2006,1.11538461538462,1.55301513026158,"27.3.a",1.18120742356405,0.978406673297286
2007,1.03225806451613,1.4755046290035,"27.3.a",1.55301513026158,1.18120742356405
2008,1.14285714285714,1.59965995326638,"27.3.a",1.4755046290035,1.55301513026158
2009,1.25925925925926,1.01276235623906,"27.3.a",1.59965995326638,1.4755046290035
2010,1.125,0.16030919427673,"27.3.a",1.01276235623906,1.59965995326638
2011,1.07407407407407,0.809335353473822,"27.3.a",0.16030919427673,1.01276235623906
2012,1,0.6834344357873,"27.3.a",0.809335353473822,0.16030919427673
2013,1.15384615384615,0.570334647161265,"27.3.a",0.6834344357873,0.809335353473822
2014,1.24137931034483,2.08489008123676,"27.3.a",0.570334647161265,0.6834344357873
